Land,Year,Krafträder,Personenkraftwagen,Kraftomnibusse,Lastkraftwagen,"Zugmaschinen insgesamt","Darunter Sattelzugmaschinen","Sonstige Kfz",Insgesamt
Bremen,2020,20168,294547,452,18665,3515,2055,2027,339374
Hamburg,2020,53726,804196,2159,62285,7861,3687,5108,935335
Hessen,2020,337081,3754502,5456,227341,150954,13107,22530,4497864
Mecklenburg-Vorpommern,2020,70833,864963,1685,86132,36787,5964,8738,1069138
Niedersachsen,2020,427800,4812978,7898,312866,256541,30637,33449,5851532
Nordrhein-Westfalen,2020,852574,10232556,17117,672049,260112,49553,51752,12086160
Rheinland-Pfalz ,2020,251759,2556805,5783,156278,151910,10697,15205,3137740
Saarland,2020,60934,642412,1154,37362,18838,1964,3267,763967
Sachsen,2020,180950,2162883,3974,200345,65639,10298,16822,2630613
Sachsen-Anhalt,2020,95240,1215896,2327,110472,45438,8466,11135,1480508
Schleswig-Holstein,2020,149562,1687370,2585,125677,77978,9271,13659,2056831
Thüringen,2020,102004,1189416,2250,112604,61915,5548,10137,1478326
